time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz
0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.600000,0.000000,1.200000,0.000000,0.000000,0.000000,-0.300000,0.519615,1.200000,0.000000,0.000000,0.000000,-0.300000,-0.519615,1.200000,0.000000,0.000000,0.000000
0.010000,0.538759,0.000000,0.165550,18.000000,0.000000,0.185425,0.611604,-0.000807,1.215957,0.000579,-0.000040,0.000797,-0.316223,0.499865,1.205543,-0.000810,-0.000986,0.000277,-0.276716,-0.526473,1.160678,0.001162,-0.000342,-0.001963
0.020000,0.624447,-0.000710,0.180372,8.755351,-0.024208,0.565342,0.605905,0.009944,1.233247,-0.001399,0.003689,0.004236,-0.317768,0.502883,1.140834,-0.001343,0.000064,-0.012601,-0.294354,-0.523144,1.184300,-0.004959,0.000813,0.002742
0.030000,0.631638,0.007301,0.196177,2.639391,0.310922,0.778164,0.603736,0.014039,1.240718,-0.003284,0.007237,0.007532,-0.318359,0.504029,1.112881,-0.001848,0.001066,-0.024948,-0.301068,-0.521877,1.194500,-0.010787,0.001914,0.007255
0.040000,0.630505,0.012250,0.205449,0.126203,0.315876,0.605954,0.602564,0.016255,1.244937,-0.005099,0.010651,0.010747,-0.318681,0.504648,1.097103,-0.002331,0.002034,-0.036995,-0.304699,-0.521193,1.200253,-0.016398,0.002974,0.011662
0.050000,0.621539,0.015705,0.211372,-0.792365,0.235805,0.391609,0.601805,0.017690,1.247693,-0.006825,0.013892,0.013876,-0.318890,0.505047,1.086801,-0.002785,0.002958,-0.048731,-0.307050,-0.520749,1.204006,-0.021731,0.003982,0.015959
0.060000,0.610498,0.017965,0.214915,-0.881488,0.146113,0.218483,0.601254,0.018733,1.249673,-0.008430,0.016900,0.016900,-0.319043,0.505336,1.079405,-0.003201,0.003822,-0.060078,-0.308756,-0.520428,1.206699,-0.026688,0.004920,0.020119
0.070000,0.587362,0.019401,0.220567,-14.932705,0.073171,3.619285,0.600823,0.019549,1.251195,-0.009883,0.019613,0.019788,-0.319163,0.505562,1.073722,-0.003570,0.004608,-0.070926,-0.310092,-0.520176,1.208766,-0.031167,0.005769,0.024102
0.080000,0.429719,0.020112,0.258632,-18.660903,0.026793,4.373668,0.600468,0.020223,1.252425,-0.011151,0.021973,0.022508,-0.319262,0.505748,1.069127,-0.003885,0.005301,-0.081156,-0.311194,-0.519969,1.210436,-0.035073,0.006510,0.027865
0.090000,0.240413,0.020366,0.302724,-14.556774,0.007574,3.191682,0.600166,0.020795,1.253459,-0.012212,0.023938,0.025027,-0.319347,0.505906,1.065269,-0.004138,0.005887,-0.090645,-0.312130,-0.519792,1.211838,-0.038336,0.007130,0.031364
